name,cgpa
naveen,9.000000
rohith,9.000000
xeg,8.150000
xen,8.460000
xen,8.460000
xej,8.490000
xet,5.330000
xey,6.830000
xey,6.830000
xey,6.830000
xey,6.830000
xey,6.830000
xdg,6.750000
xdl,7.650000
xdm,9.060000
xdt,5.440000
xdw,8.680000
xdy,6.440000
xdz,8.740000
caaapi,8.000000
rohith,9.000000
xdh,8.470000
xdn,5.900000
xdq,8.300000
xdu,5.130000
xea,9.070000
xed,9.230000
zyx,6.530000
zyz,8.900000
zza,6.890000
zzd,6.820000
zze,6.430000
zzn,6.570000
zzv,5.130000
zzz,9.720000
zzc,9.980000
zzg,8.880000
zzh,7.260000
zzm,9.730000
zzq,6.750000
zzt,5.540000
zyr,8.150000
zxs,5.060000
zxw,6.630000
zxx,6.420000
zxz,8.560000
zye,8.060000
zyf,8.080000
zyj,9.460000
zyb,5.820000
zyd,7.490000
zyi,7.860000
zyl,7.980000
zyu,6.650000
zyw,9.490000
zwn,9.250000
zwt,9.980000
zwx,9.750000
zxd,9.500000
zxe,8.410000
zxf,5.220000
zww,7.490000
zxb,5.390000
zxk,9.110000
zxq,8.270000
zvp,5.360000
zvt,7.970000
zwh,6.670000
zvm,7.200000
zvn,8.370000
zvs,9.840000
zvv,8.820000
zvy,6.500000
zwc,9.710000
zwg,7.660000
zvw,8.840000
zwb,7.770000
zwe,5.190000
zwk,6.660000
zwm,7.010000
zud,8.960000
zuf,5.480000
zuq,7.950000
zsr,8.160000
zvh,9.320000
zug,6.810000
zvb,9.060000
zve,6.070000
zuj,7.750000
zun,9.870000
zut,6.330000
zuy,5.570000
zvc,7.190000
zvf,6.650000
ztc,5.360000
zte,8.790000
zth,5.750000
zti,7.680000
ztj,8.770000
ztm,9.670000
ztv,9.910000
zto,6.320000
ztp,8.760000
ztq,5.850000
ztw,7.860000
ztx,8.900000
ztz,5.130000
zub,9.790000
zrv,6.430000
zrz,6.770000
zsh,8.820000
zsn,7.460000
zso,6.790000
zss,8.920000
zst,9.250000
zsu,7.150000
zrx,9.840000
zsp,9.160000
zsv,8.850000
zqr,7.640000
zqx,7.360000
zra,8.130000
zrr,5.880000
zqo,5.140000
zqq,6.420000
zqv,8.370000
zrb,6.820000
zrd,8.340000
zrk,5.430000
zrm,8.170000
zro,9.240000
zpq,8.070000
zpv,6.090000
zqh,5.210000
zql,8.590000
zqn,5.660000
zpn,7.220000
zqa,5.020000
zqf,8.680000
zqg,9.220000
znz,9.990000
zon,6.290000
zop,7.760000
zox,5.990000
zpi,8.270000
zoi,8.430000
zoj,6.780000
zoo,8.820000
zok,7.550000
